ENGINE_RPM,VEHICLE_SPEED,THROTTLE,ENGINE_LOAD,COOLANT_TEMPERATURE,LONG_TERM_FUEL_TRIM_BANK_1,SHORT_TERM_FUEL_TRIM_BANK_1,INTAKE_MANIFOLD_PRESSURE,ACCELERATOR_PEDAL_POSITION_D,ACCELERATOR_PEDAL_POSITION_E,COMMANDED_THROTTLE_ACTUATOR,INTAKE_AIR_TEMPERATURE,TIMING_ADVANCE,CONTROL_MODULE_VOLTAGE
0.0,0.0,18.431,0.0,28.0,-10.156,0.0,,16.078,31.765,20.392,28.0,5.0,12.07
0.0,0.0,18.431,0.0,28.0,-10.156,0.0,,16.078,31.765,20.392,28.0,5.0,12.07
0.0,0.0,18.431,0.0,28.0,-10.156,0.0,,16.078,31.765,20.392,28.0,5.0,12.07
0.0,0.0,20.392,0.0,28.0,-10.156,0.0,,16.078,31.765,21.961,28.0,5.0,10.546
0.0,0.0,20.392,0.0,28.0,-10.156,0.0,,16.078,31.765,21.961,28.0,5.0,10.546
0.0,0.0,20.392,0.0,28.0,-10.156,0.0,,16.078,31.765,21.961,28.0,5.0,10.546
1665.5,0.0,21.961,41.569,28.0,-10.156,0.0,,16.078,31.765,21.961,28.0,16.5,13.632
1665.5,0.0,21.961,41.569,28.0,-10.156,0.0,,16.078,31.765,21.961,28.0,16.5,13.632
1665.5,0.0,21.961,41.569,28.0,-10.156,0.0,,16.078,31.765,21.961,28.0,16.5,13.632
1567.0,0.0,21.961,43.137,28.0,-10.156,0.0,,16.078,31.765,21.961,29.0,10.0,13.652
1567.0,0.0,21.961,43.137,28.0,-10.156,0.0,,16.078,31.765,21.961,29.0,10.0,13.652
1453.75,0.0,21.961,48.235,29.0,-10.156,0.0,,16.078,31.765,21.961,29.0,4.0,13.671
1453.75,0.0,21.961,48.235,29.0,-10.156,0.0,,16.078,31.765,21.961,29.0,4.0,13.671
1453.75,0.0,21.961,48.235,29.0,-10.156,0.0,,16.078,31.765,21.961,29.0,4.0,13.671
1346.0,0.0,21.961,50.588,30.0,-10.156,0.0,,16.078,31.765,21.961,30.0,2.5,13.671
1346.0,0.0,21.961,50.588,30.0,-10.156,0.0,,16.078,31.765,21.961,30.0,2.5,13.671
1346.0,0.0,21.961,50.588,30.0,-10.156,0.0,,16.078,31.765,21.961,30.0,2.5,13.671
1336.5,0.0,22.353,52.157,30.0,-10.156,0.0,,16.078,31.765,22.353,30.0,2.0,13.691
1336.5,0.0,22.353,52.157,30.0,-10.156,0.0,,16.078,31.765,22.353,30.0,2.0,13.691
1336.5,0.0,22.353,52.157,30.0,-10.156,0.0,,16.078,31.765,22.353,30.0,2.0,13.691
1336.5,0.0,21.961,52.549,31.0,-10.156,0.0,,16.078,31.765,21.961,30.0,2.0,13.691
1336.5,0.0,21.961,52.549,31.0,-10.156,0.0,,16.078,31.765,21.961,30.0,2.0,13.691
1336.5,0.0,21.961,52.549,31.0,-10.156,0.0,,16.078,31.765,21.961,30.0,2.0,13.691
1313.25,0.0,21.961,52.157,32.0,-10.156,-2.344,,16.078,31.765,21.961,30.0,2.5,13.691
1313.25,0.0,21.961,52.157,32.0,-10.156,-2.344,,16.078,31.765,21.961,30.0,2.5,13.691
1313.25,0.0,21.961,52.157,32.0,-10.156,-2.344,,16.078,31.765,21.961,30.0,2.5,13.691
1265.5,0.0,21.569,51.765,33.0,-10.156,-1.563,,16.078,31.765,21.569,30.0,3.0,13.71
