ENGINE_RPM,VEHICLE_SPEED,THROTTLE,ENGINE_LOAD,COOLANT_TEMPERATURE,LONG_TERM_FUEL_TRIM_BANK_1,SHORT_TERM_FUEL_TRIM_BANK_1,INTAKE_MANIFOLD_PRESSURE,ACCELERATOR_PEDAL_POSITION_D,ACCELERATOR_PEDAL_POSITION_E,COMMANDED_THROTTLE_ACTUATOR,INTAKE_AIR_TEMPERATURE,TIMING_ADVANCE,CONTROL_MODULE_VOLTAGE
0.0,0,17.647058,0.0,81.0274245371779,-4.6875,0.0,101,16.078432,31.764706,17.254902,45,5.015462312087024,12.382
0.0,0,17.647058,0.0,80.90640143043835,-4.6875,0.0,101,16.078432,31.764706,17.254902,45,4.98267383337933,12.382
0.0,0,17.647058,0.0,81.06754060762258,-4.6875,0.0,101,16.078432,31.764706,17.254902,45,5.038233416508237,12.363
0.0,0,17.647058,0.0,81.0846508244752,-4.6875,0.0,101,16.078432,31.764706,17.254902,45,4.981172373906892,12.363
245.25,0,17.254902,88.627449,80.82440683302116,-4.6875,0.0,83,16.078432,31.764706,17.254902,45,4.980901541506933,12.363
245.25,0,17.254902,88.627449,80.8828038443824,-4.6875,0.0,83,16.078432,31.764706,17.254902,45,5.016233948324136,12.363
245.25,0,17.254902,88.627449,81.01150563628505,-4.6875,0.0,83,16.078432,31.764706,20.392157,45,5.022887794470108,12.031
1128.0,0,17.254902,30.588236,80.97153816668907,0.0,0.0,32,16.078432,31.764706,20.392157,45,5.013442980918086,12.031
1128.0,0,19.215687,30.588236,80.99848789582461,0.0,0.0,32,16.078432,31.764706,20.392157,46,1.9494320804784557,12.031
1128.0,0,19.215687,30.588236,80.92322604651838,0.0,0.0,32,16.078432,31.764706,20.392157,46,2.0161410331978473,11.894
1128.0,0,19.215687,30.588236,81.07914581773765,0.0,0.0,32,16.078432,31.764706,19.215687,46,1.968970758449768,11.894
1113.25,0,19.215687,31.764706,80.07914581773765,0.0,0.0,33,16.078432,31.764706,19.215687,46,2.007058283347648,11.894
1113.25,0,19.215687,31.764706,80.0059427627805,0.0,0.0,33,16.078432,31.764706,19.215687,46,1.957287966938028,11.894
1113.25,0,19.215687,31.764706,80.10145170862712,0.0,0.0,33,16.078432,31.764706,18.82353,46,2.013389664426292,13.613
1113.25,0,19.215687,31.764706,80.04207584080268,0.0,0.0,33,16.078432,31.764706,18.82353,46,1.9758020328707788,13.613
922.5,0,18.82353,35.294117,79.92266367834051,-0.78125,0.0,35,16.078432,31.764706,18.82353,47,6.961520960492185,13.613
922.5,0,18.82353,35.294117,80.03318757056742,-0.78125,0.0,35,16.078432,31.764706,18.82353,47,7.021414604094472,13.613
922.5,0,18.82353,35.294117,79.9137005659254,-0.78125,0.0,35,16.078432,31.764706,18.82353,47,7.007249335650303,13.808
922.5,0,18.82353,35.686275,79.07906052711765,-0.78125,0.0,35,16.078432,31.764706,18.82353,47,6.981580695958213,13.808
851.5,0,18.82353,35.686275,78.99550666801123,-0.78125,0.0,35,16.078432,31.764706,18.82353,48,7.043535365470632,13.808
851.5,0,18.82353,35.686275,78.98336238728092,-0.78125,0.0,35,16.078432,31.764706,18.82353,48,6.986780427352908,13.769
851.5,0,18.82353,35.686275,78.93871634100364,-0.78125,0.0,35,16.078432,31.764706,18.82353,48,7.000963230219128,13.769
835.75,0,18.82353,36.470589,79.11002872048066,-0.78125,0.0,36,16.078432,31.764706,18.82353,48,4.008067403430358,13.769
835.75,0,18.82353,36.470589,78.9860923466138,-0.78125,0.0,36,16.078432,31.764706,18.82353,48,3.9814100219761417,13.769
835.75,0,18.82353,36.470589,78.96145049600533,-0.78125,0.0,36,16.078432,31.764706,18.82353,48,4.014134088801998,13.75
835.75,0,18.82353,36.470589,78.96830798045606,-0.78125,0.0,36,16.078432,31.764706,18.82353,48,3.983996429585058,13.75
831.25,0,18.82353,37.254902,79.96830798045606,-0.78125,0.0,37,16.078432,31.764706,18.82353,48,0.9876508503335137,13.75
831.25,0,18.82353,37.254902,80.03288996579276,-0.78125,0.0,37,16.078432,31.764706,18.82353,48,1.0408792791941002,13.75
831.25,0,18.82353,37.254902,80.03714593504364,-0.78125,0.0,37,16.078432,31.764706,18.82353,48,0.968782418424627,13.75
