timestamp_ms,datetime,ENGINE_RPM,ENGINE_LOAD,INTAKE_MANIFOLD_PRESSURE,MASS_AIR_FLOW,COOLANT_TEMPERATURE,INTAKE_AIR_TEMP,SHORT_TERM_FUEL_TRIM_BANK_1,LONG_TERM_FUEL_TRIM_BANK_1,TIMING_ADVANCE,VEHICLE_SPEED,THROTTLE,FUEL_AIR_COMMANDED_EQUIV_RATIO,CONTROL_MODULE_VOLTAGE,ABSOLUTE_BAROMETRIC_PRESSURE,ENGINE_RUN_TIME,FUEL_TANK,ABSOLUTE_THROTTLE_B,PEDAL_D,PEDAL_E,COMMANDED_THROTTLE_ACTUATOR,RELATIVE_THROTTLE_POSITION,CATALYST_TEMPERATURE_BANK1_SENSOR1,CATALYST_TEMPERATURE_BANK1_SENSOR2,COMMANDED_EVAPORATIVE_PURGE
1781982150363,2026-06-20 22:02:30.363,1907.750,86.275,,17.650,105.000,33.000,-4.688,-4.688,5.000,59.000,29.412,1.001,13.496,93.000,1742.000,,63.529,24.314,38.824,24.706,5.098,692.700,691.400,62.745
1781982154035,2026-06-20 22:02:34.035,1707.750,54.902,,8.570,105.000,33.000,-0.781,-7.813,24.000,62.000,22.745,1.001,13.515,93.000,1745.000,,56.078,21.569,37.255,22.353,3.529,683.200,683.200,79.608
1781982156943,2026-06-20 22:02:36.943,1711.500,49.020,,7.180,105.000,34.000,-4.688,-7.031,28.500,63.000,21.569,1.001,13.515,93.000,1748.000,,54.510,20.784,36.863,21.961,2.745,672.700,672.700,69.804
1781982159823,2026-06-20 22:02:39.823,1692.000,40.392,,5.140,105.000,34.000,0.781,-8.594,25.500,62.000,19.216,1.000,13.574,93.000,1751.000,,52.157,18.431,34.118,21.176,1.961,666.000,662.700,0.000
1781982162696,2026-06-20 22:02:42.696,1614.750,38.431,,4.900,105.000,35.000,3.125,-8.594,30.000,60.000,21.176,1.001,13.554,93.000,1754.000,,54.902,19.216,34.902,21.961,2.745,656.100,656.100,69.804
1781982165590,2026-06-20 22:02:45.590,1645.250,45.098,,9.890,105.000,35.000,3.906,-7.031,20.500,59.000,24.314,1.001,13.496,93.000,1757.000,,57.255,20.392,36.078,22.353,3.529,646.700,646.700,85.098
1781982168597,2026-06-20 22:02:48.597,1635.750,49.412,,8.070,105.000,34.000,6.250,-7.031,24.500,59.000,24.314,1.001,13.476,93.000,1760.000,,58.039,21.961,37.647,21.961,2.353,638.500,638.500,54.118
1781982171391,2026-06-20 22:02:51.391,1517.750,32.941,,2.920,105.000,34.000,0.000,-8.594,20.000,60.000,18.824,1.004,13.554,93.000,1763.000,,50.980,17.647,33.333,18.824,0.000,633.900,631.400,0.000
1781982174224,2026-06-20 22:02:54.224,1070.250,30.980,,2.200,104.000,35.000,6.250,-6.250,-5.500,58.000,21.961,1.001,13.496,93.000,1765.000,,55.294,21.569,37.255,22.353,3.137,626.600,626.600,73.333
1781982177076,2026-06-20 22:02:57.076,1571.000,42.745,,2.710,104.000,35.000,0.000,-8.594,16.000,57.000,21.176,1.001,13.535,93.000,1768.000,,54.118,16.078,31.765,21.176,1.961,619.000,619.000,0.000
