timestamp_ms,datetime,ENGINE_RPM,ENGINE_LOAD,INTAKE_MANIFOLD_PRESSURE,MASS_AIR_FLOW,COOLANT_TEMPERATURE,INTAKE_AIR_TEMP,SHORT_TERM_FUEL_TRIM_BANK_1,LONG_TERM_FUEL_TRIM_BANK_1,TIMING_ADVANCE,VEHICLE_SPEED,THROTTLE,FUEL_AIR_COMMANDED_EQUIV_RATIO,CONTROL_MODULE_VOLTAGE,ABSOLUTE_BAROMETRIC_PRESSURE,ENGINE_RUN_TIME,FUEL_TANK,ABSOLUTE_THROTTLE_B,PEDAL_D,PEDAL_E,COMMANDED_THROTTLE_ACTUATOR,RELATIVE_THROTTLE_POSITION,CATALYST_TEMPERATURE_BANK1_SENSOR1,CATALYST_TEMPERATURE_BANK1_SENSOR2,COMMANDED_EVAPORATIVE_PURGE
1781984696399,2026-06-20 22:44:56.399,3705.250,74.510,,31.920,105.000,28.000,4.688,-3.906,19.000,135.000,38.431,1.001,13.574,93.000,4248.000,,76.078,30.196,45.098,38.824,20.000,793.900,793.700,100.000
1781984699336,2026-06-20 22:44:59.336,3686.500,90.588,,41.010,105.000,28.000,-0.781,-3.906,16.500,135.000,39.216,1.001,13.593,93.000,4251.000,,73.725,29.020,43.922,37.647,20.392,795.400,795.400,100.000
1781984702173,2026-06-20 22:45:02.173,3697.500,87.059,,39.980,105.000,28.000,-1.563,-3.906,17.000,135.000,40.000,1.001,13.593,93.000,4254.000,,78.039,30.588,45.490,39.608,20.784,799.400,799.400,0.000
1781984705140,2026-06-20 22:45:05.140,3731.250,87.059,,41.070,105.000,27.000,0.000,-3.906,18.000,136.000,40.000,1.043,13.593,93.000,4257.000,,77.647,30.588,45.490,39.608,20.784,805.000,805.000,0.000
1781984708082,2026-06-20 22:45:08.082,3750.000,89.804,,44.510,105.000,27.000,0.000,-3.906,15.500,138.000,45.098,1.031,13.593,93.000,4260.000,,83.529,33.333,48.235,44.706,25.490,812.100,812.100,0.000
1781984711080,2026-06-20 22:45:11.080,3771.750,92.941,,44.650,105.000,27.000,0.000,-3.906,17.000,138.000,43.137,1.037,13.593,93.000,4263.000,,80.392,31.765,46.667,41.176,21.961,816.100,817.300,0.000
1781984714099,2026-06-20 22:45:14.099,3768.750,83.922,,40.140,105.000,27.000,0.000,-3.906,17.500,140.000,40.392,1.037,13.593,93.000,4266.000,,78.039,30.588,45.882,40.000,21.176,818.000,818.000,0.000
1781984716927,2026-06-20 22:45:16.927,3795.250,86.667,,41.320,106.000,27.000,0.000,-3.906,18.500,139.000,39.216,1.031,13.593,93.000,4268.000,,76.863,30.196,45.098,39.216,20.392,818.000,818.000,0.000
1781984719839,2026-06-20 22:45:19.839,3846.000,85.882,,42.760,106.000,27.000,0.000,-3.906,19.000,141.000,39.216,1.047,13.613,93.000,4271.000,,76.471,30.196,45.098,38.431,19.608,817.300,817.300,0.000
1781984722814,2026-06-20 22:45:22.814,3889.750,83.137,,40.310,106.000,28.000,0.000,-3.906,21.000,142.000,37.255,1.035,13.593,93.000,4274.000,,73.725,28.627,43.922,36.471,17.647,814.300,814.300,0.000
1781984725777,2026-06-20 22:45:25.777,3893.750,78.431,,36.820,106.000,28.000,0.000,-3.906,37.000,142.000,23.137,1.000,13.632,93.000,4277.000,,56.078,16.078,31.765,22.745,3.922,808.900,804.100,0.000
